"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CTD-2162K18.3",4.46916694262732,0.168390881284556,2.18724196030662,0.00594262278507074,0.938553213927274,1
"CTD-2168K21.3",0.406253322446478,4.21547480041063,6.96909394848554,0.650534233018579,0.419921742064662,1
"CTD-2169H9.1",0.379609220394197,-2.14410407113438,6.95556163432369,0.0595355516057801,0.807231531546214,1
"CTD-2175A23.1",0.143625894426533,-2.53543301574076,7.00091407283993,0.175947544972852,0.674879238823418,1
"CTD-2184D3.5",1.24708104121501,3.21045685545185,4.84296187752065,0.620450290413427,0.430880004460611,1
"CTD-2184D3.7",0.0729433443769288,1.20580302725018,7.0662493550619,0.0670585648830739,0.795668660838327,1
"CTD-2185K10.1",2.0933476161068,-0.13637091942671,3.71267856801511,0.000813414397686785,0.977247081278687,1
"CTD-2189E23.1",0.365440646832923,-1.3650069667051,6.98637764875205,0.0240090366253956,0.876861920481277,1
"CTD-2189E23.3",1.19075101938053,2.4221512706367,4.89494142607754,0.390881126414538,0.531836607635608,1
"CTD-2192J16.11",2.5257647120804,-0.441986642075708,3.58859502173446,0.00919867825373188,0.923592258732198,1
"CTD-2192J16.26",2.357518517871,1.60186695265896,3.36708418890771,0.390213800944387,0.532187040318681,1
"CTD-2193P3.2",0.0718129472132664,-1.62903736391168,7.06181899735966,0.0931199228914492,0.760247668236692,1
"CTD-2194D22.4",0.088553163469555,-1.78187300169273,7.05480836661425,0.112260395635477,0.737585238124722,1
"CTD-2195B23.3",0.188334319893814,1.21596518246691,7.06687765793473,0.0683178791666732,0.793801876072498,1
"CTD-2196E14.3",1.21629259421417,-0.206358959893578,4.49616489070288,0.00131995615028657,0.97101827172897,1
"CTD-2196E14.5",0.531974048127546,0.238445736860827,6.1889734927321,0.000925159601170122,0.975734936596483,1
"CTD-2196E14.8",0.075617215284843,1.23199169963035,7.06493714181433,0.0693261276788197,0.792320475380594,1
"CTD-2197I11.1",0.075617215284843,1.23199169963035,7.06493714181433,0.0693261276788197,0.792320475380594,1
"CTD-2199O4.4",0.0729433443769288,1.20580302725018,7.0662493550619,0.0670585648830739,0.795668660838327,1
"CTD-2199O4.5",0.088553163469555,-1.78187300169273,7.05480836661425,0.112260395635477,0.737585238124722,1
"CTD-2199O4.6",1.76381743605727,-4.69466983446547,4.2882691160684,1.4227373938839,0.23295336648357,1
"CTD-2200A16.1",0.800039759087606,-5.65061629729606,6.89825910094694,1.02563325968464,0.311186500689315,1
"CTD-2201E18.5",4.49913549283766,-0.13210307100667,2.29929735902387,0.00332147387463522,0.954041576918746,1
"CTD-2201E18.6",0.72445803978614,0.351170664705986,5.60081505025743,0.00251119378784992,0.960033286267454,1
"CTD-2201E18.8",5.60070880080534,-1.63372803120316,2.01681454345458,0.660480563803581,0.416390337449658,1
"CTD-2201G3.1",0.901796521098392,-1.69896004141639,5.96411932854104,0.0507892884873513,0.821695500752856,1
"CTD-2207P18.1",0.0729433443769288,1.20580302725018,7.0662493550619,0.0670585648830739,0.795668660838327,1
"CTD-2210P15.3",0.363999401301571,-0.673147585676073,6.89872415080182,0.00590656590889083,0.93873954395551,1
"CTD-2210P24.1",0.648621206691047,-4.56939791355224,6.96610970644014,0.709520950258101,0.399602890675412,1
"CTD-2215E18.2",0.151234430569686,2.23691836443593,6.9920026885032,0.149202593241247,0.699298556292606,1
"CTD-2215E18.3",0.419121065680456,1.4067317772783,6.96416157748346,0.0272043497754186,0.868993245377181,1
"CTD-2215E18.4",2.87228778798301,3.26529075976357,4.0554887635199,0.869114826839869,0.351200478570574,1
"CTD-2216M2.1",0.433138477606923,-1.1095012775984,6.8861201566964,0.0160757830162055,0.899106364383117,1
"CTD-2224J9.11",5.53959799874851,0.0135327245981857,2.89306163134399,1.47407070869576e-05,0.996936639185412,1
"CTD-2227C6.2",0.362430515980224,-4.04540741278719,6.99301554716722,0.614358333548019,0.433151523840778,1
"CTD-2228A4.1",0.075617215284843,1.23199169963035,7.06493714181433,0.0693261276788197,0.792320475380594,1
"CTD-2231E14.5",0.148560559661772,2.21347063527585,6.99320190060822,0.147175418167606,0.701249376774943,1
"CTD-2231E14.8",2.56145605249223,2.65849285138668,3.39198702424332,0.832991174544588,0.361409023344697,1
"CTD-2233K9.1",0.68166500495298,1.57600688518227,5.63070189457402,0.0497166577906825,0.823557045619775,1
"CTD-2235C13.2",0.900986808658904,5.65771347762063,5.21554016961702,1.63694998335764,0.200744456708068,1
"CTD-2240E14.4",0.450463793916226,3.67136722339026,6.99108169578926,0.533675905205794,0.465065519297863,1
"CTD-2240J17.4",0.235983325967664,-1.21695088176258,6.99091588942297,0.0189944766214758,0.890382321302788,1
"CTD-2245E15.3",1.24566360457842,0.160245654712706,5.39517686549893,0.000556815316034687,0.981174117416144,1
"CTD-2245O6.4",1.57203593404904,2.10026532467754,3.4806404534883,0.565687333655394,0.451977762549049,1
"CTD-2249K22.1",0.38060373971974,-0.199851585286946,7.06354887282427,0.000174013334207856,0.989475081771256,1
"CTD-2251F13.1",0.280822583295482,-3.19769932106243,7.05147815630079,0.423285627126885,0.515302116681334,1
"CTD-2256P15.1",0.569293304037213,1.7843069204256,5.41409200875014,0.210341819368104,0.646499621352973,1
"CTD-2256P15.3",0.407577429605189,0.370857091865355,6.99833384528497,0.0183892565136858,0.892131977018392,1
"CTD-2256P15.4",0.328340757508796,-0.344082944104458,6.91062757901507,0.00154007325045136,0.968696039453135,1
"CTD-2256P15.5",0.306252799436679,-0.259282412605328,6.91966235381779,0.000875120650974281,0.976400071455244,1
"CTD-2260A17.1",1.74487545085073,-0.802990313445409,4.00028036035695,0.0249501565625003,0.874491324041087,1
"CTD-2260A17.3",0.161496507846484,-0.346961977212171,7.05387014956149,0.00251190034529536,0.960027668787802,1
"CTD-2263F21.1",0.143625894426533,-2.53543301574076,7.00091407283993,0.175947544972852,0.674879238823418,1
"CTD-2265O21.3",0.699383068068602,0.590176974507277,5.7657548348115,0.0443605146900801,0.833184304299206,1
"CTD-2265O21.7",0.075617215284843,1.23199169963035,7.06493714181433,0.0693261276788197,0.792320475380594,1
"CTD-2266L18.2",0.265659490408665,-3.39907758368216,6.96388849718903,0.262124238100375,0.608664516453977,1
"CTD-2267D19.1",2.623752778913,-1.61396531289516,3.26756990883379,0.413072120673853,0.520414322444753,1
"CTD-2267D19.8",1.73798423529065,-0.568472447658844,4.00299914754045,0.0124762538454668,0.91106353728874,1
"CTD-2270L9.2",0.216569238803462,-1.10049709967541,6.99996886347032,0.0159939340647259,0.899362169396527,1
"CTD-2270P14.2",2.81415095914738,-0.888381146993922,3.41145854850513,0.0402995434899047,0.840896045779437,1
"CTD-2282P23.2",0.250049671316039,-1.37520938763068,6.98574183772683,0.0248717917192618,0.874686950127516,1
"CTD-2283N19.1",1.66084387603582,0.340028059504711,4.02430266738317,0.00444902127550151,0.946819750886491,1
"CTD-2284J15.1",5.40981381777844,0.256063407496359,1.7103416651315,0.0224000095730332,0.88102787568957,1
"CTD-2285E13.1",0.497480356823947,2.68467876015888,6.46647145100621,0.276284342587843,0.599146997007811,1
"CTD-2286N8.1",0.161496507846484,-0.346961977212171,7.05387014956149,0.00251190034529536,0.960027668787802,1
"CTD-2286N8.2",2.74983153207676,3.216048001991,2.7870998355294,1.6158743930958,0.203668005474542,1
"CTD-2286N8.3",0.088553163469555,-1.78187300169273,7.05480836661425,0.112260395635477,0.737585238124722,1
"CTD-2288F12.1",4.19719885397138,-0.0148674397713937,2.32552376997766,4.11333905319111e-05,0.994882777054261,1
"CTD-2288O8.3",0.519602870221578,2.24532434630725,6.98698153077639,0.195223775974817,0.658604016173359,1
"CTD-2293H3.1",5.31395871517537,-4.11080981120864,2.51092261680822,2.94813665315753,0.0859766365386061,1
"CTD-2293H3.2",3.16991521780746,-1.67121441950825,2.83368619525554,0.344875502904834,0.557028417769656,1
"CTD-2297D10.2",0.92993556811055,-4.68489416905863,5.2540312554428,0.983215994200336,0.321406116675851,1
"CTD-2297M2.1",0.232179057896088,-3.21570070714471,6.97002697507312,0.242966150183609,0.622071965029456,1
"CTD-2302E22.4",4.70020915245645,-0.189524390829008,3.02614477740203,0.00391155819255573,0.950130856980125,1
"CTD-2305P23.1",0.946111515150855,-1.24052736976226,5.97801911879197,0.026851105445477,0.869838940571774,1
