"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HSFX3",1.57500352981037,5.66875120666116,5.81292498546508,1.36878837989711,0.242020165902685,1
"HSFX4",0.215438841639799,-3.11577306772402,6.97371235553408,0.232771504101121,0.629476371491365,1
"HSH2D",1.61529659046152,-0.879140595195659,5.7919627422013,0.0144255668167155,0.904398798336825,1
"HSP90AA3P",0.737626142343994,-2.0818545030331,6.38023418395635,0.0665631629267338,0.796408159215285,1
"HSP90AA5P",1.96663921610482,1.64752574523756,3.75679822339905,0.188232021532944,0.664392182082882,1
"HSP90AA6P",0.321862618529305,-1.87503055487812,6.96582533186965,0.0462078155421004,0.82979847960691,1
"HSP90AB2P",1.80110213664142,-4.30293051688052,3.69937798156188,1.60990365822093,0.204505345314106,1
"HSP90AB4P",0.088553163469555,-1.78187300169273,7.05480836661425,0.112260395635477,0.737585238124722,1
"HSP90B2P",4.75386219876846,-3.06988598912576,2.39894148474,1.61773609211878,0.203407746366067,1
"HSP90B3P",0.088553163469555,-1.78187300169273,7.05480836661425,0.112260395635477,0.737585238124722,1
"HSPA12A",524.165620658379,-0.00105394915830484,0.438866607030835,5.7648955902323e-06,0.998084265293443,1
"HSPA1A",0.324536489437219,-1.84876391721978,6.96449027514083,0.0441221674530325,0.833626484779213,1
"HSPA1B",0.160366110682821,-2.67813539940804,6.99319132531565,0.189188357582662,0.663593000592024,1
"HSPA5P1",0.164170378754398,-0.320734284725941,7.05255363380751,0.00199495610641165,0.964374386391802,1
"HSPA6",3.456931339631,1.57937921938089,2.72956104686045,0.336815008251726,0.561673454320405,1
"HSPA7",0.432008080443261,-2.41383062371135,6.95078971087812,0.0767162096675662,0.781797834569165,1
"HSPA8P1",0.075617215284843,1.23199169963035,7.06493714181433,0.0693261276788197,0.792320475380594,1
"HSPA8P11",0.23330945505975,-1.24320157214846,6.99224511655874,0.02035957174391,0.886537406917242,1
"HSPA8P13",1.65020938172698,5.68666337193486,5.37667037901185,0.950430449726063,0.329609754244651,1
"HSPA8P14",3.64986586732095,-1.39021703724023,2.61711435296985,0.283667122725078,0.594307666387993,1
"HSPA8P19",0.533104445291208,1.09161668813906,6.15817752469183,0.0197248890224024,0.888308149356004,1
"HSPA8P3",1.45698892446172,-0.618490859267593,5.172492050551,0.00895414992717747,0.924611603466497,1
"HSPA8P5",0.075617215284843,1.23199169963035,7.06493714181433,0.0693261276788197,0.792320475380594,1
"HSPA8P7",0.160366110682821,-2.67813539940804,6.99319132531565,0.189188357582662,0.663593000592024,1
"HSPA8P9",0.788536413748589,1.27531391253475,4.80960003498707,0.160708264029623,0.688505270864392,1
"HSPA9P1",4.9356996167656,-3.49432757644279,2.58632138030141,1.90912898367759,0.167060044659807,1
"HSPB1P1",2.06999108428911,3.66680872530966,3.33305018323128,1.24204794104111,0.26507673039108,1
"HSPB3",1.00441098393874,-6.98448777967809,6.82009488775304,1.34776838990656,0.245668629056587,1
"HSPB6",5.23663796756557,-2.43267547252373,2.47216927572579,0.96555483139857,0.325791298801681,1
"HSPB7",0.941671599469068,3.53865836137203,6.94833315390194,0.277535939290123,0.598320816188548,1
"HSPD1P10",0.375804952322621,-3.91134437731317,6.95033005383314,0.319046180804499,0.572181419916078,1
"HSPD1P11",2.87683222624751,-0.620045517749761,3.41744467174845,0.019538340546152,0.888834120660253,1
"HSPD1P13",0.0729433443769288,1.20580302725018,7.0662493550619,0.0670585648830739,0.795668660838327,1
"HSPD1P5",0.530843650963883,-0.553611347404178,6.85661309459055,0.00401167074883091,0.949497554850126,1
"HSPD1P6",0.160366110682821,-2.67813539940804,6.99319132531565,0.189188357582662,0.663593000592024,1
"HSPD1P7",0.26036663369262,2.647413149581,7.06612523074827,0.331765696272964,0.564621227231592,1
"HSPE1-MOB4",0.075617215284843,1.23199169963035,7.06493714181433,0.0693261276788197,0.792320475380594,1
"HSPE1P11",0.164170378754398,-0.320734284725941,7.05255363380751,0.00199495610641165,0.964374386391802,1
"HSPE1P13",0.145886688753858,2.18970695948749,6.99443710655929,0.145131418153722,0.703232056622583,1
"HSPE1P21",0.361325530393657,-0.696911324629187,6.89997624586774,0.00633095491420832,0.936581405124902,1
"HSPE1P22",0.164170378754398,-0.320734284725941,7.05255363380751,0.00199495610641165,0.964374386391802,1
"HSPE1P25",0.143625894426533,-2.53543301574076,7.00091407283993,0.175947544972852,0.674879238823418,1
"HSPE1P26",0.0729433443769288,1.20580302725018,7.0662493550619,0.0670585648830739,0.795668660838327,1
"HSPE1P27",0.59124379396242,-4.56459621421025,6.93872333556736,0.396830744549463,0.528730547917682,1
"HSPE1P28",0.17710632693911,-2.81014710581661,6.9866887251432,0.20177180325285,0.653294482497675,1
"HSPE1P3",2.48447894567778,-0.0965464421553504,2.95821789971245,0.00105235196832609,0.974121183930404,1
"HSPE1P4",2.14299016324011,0.234400039349961,3.59090112904902,0.0318307553120327,0.858399616073728,1
"HSPE1P6",0.26036663369262,2.647413149581,7.06612523074827,0.331765696272964,0.564621227231592,1
"HSPE1P7",0.566594021552204,-2.74054096540639,6.21688216950409,0.311843948197133,0.576550863268312,1
"HSPE1P8",0.075617215284843,1.23199169963035,7.06493714181433,0.0693261276788197,0.792320475380594,1
"HTD2",3.53294990860782,1.0664452822539,3.19190354059755,0.0650248369225679,0.798723346201143,1
"HTR1B",0.819917745986589,-1.65765916706013,4.75814279780653,0.235279238777444,0.627636684041008,1
"HTR1DP1",0.297121119323544,3.21338721157854,6.95591466093093,0.242980815489743,0.622061453625218,1
"HTR1E",0.188334319893814,1.21596518246691,7.06687765793473,0.0683178791666732,0.793801876072498,1
"HTR1F",3.19316931886467,-0.266393215740605,2.61561218379919,0.0103834580096276,0.918836641932528,1
"HTR2A",0.653556123150996,1.24888693972948,6.95567444567673,0.0195586633236857,0.888776696916933,1
"HTR2B",1.10497829075846,0.271170094746907,4.9244479989334,0.0227545030666079,0.880097231735098,1
"HTR3B",1.66646705428765,1.69830283982863,3.60384365591058,0.388607084682558,0.53303248726071,1
"HTR3C",3.02180127340449,1.43182945046638,3.91713079258191,0.0838470666077136,0.772150133074749,1
"HTR3C2P",0.0729433443769288,1.20580302725018,7.0662493550619,0.0670585648830739,0.795668660838327,1
"HTR3E",0.151234430569686,2.23691836443593,6.9920026885032,0.149202593241247,0.699298556292606,1
"HTR5BP",1.35837501489645,-0.201685841978848,4.39157459403355,0.00131744127763866,0.971045881764758,1
"HTRA4",1.13845342606874,-6.48395855202433,6.47370381756358,1.34607735314307,0.245965051593346,1
"HYAL6P",0.188334319893814,1.21596518246691,7.06687765793473,0.0683178791666732,0.793801876072498,1
"HYDIN",3.09511968155179,-4.48759364001905,3.14334910680844,2.04224452423712,0.15298376722322,1
"HYDIN2",3.47673492940046,4.33017541478121,2.72070889285429,2.50146690115431,0.11374031167338,1
"IAPP",0.473092003121409,-4.14003647217095,6.9853090458453,0.636751392143706,0.424889619110325,1
"IBSP",2.60233505525554,2.4684230136871,3.66932498172671,0.285470745270082,0.5931377110532,1
"ICAM1",5.52774697397352,4.25666659735442,2.41456430062204,3.35978214468879,0.0668069058757655,1
"ICAM3",0.226851645854529,2.82254916436797,6.96753945468158,0.203592875057971,0.651836277674916,1
"ID2B",0.218804621553691,-1.73914054155065,7.05935413513865,0.107694458799795,0.74278438514888,1
"IDI2",0.577894769197118,-0.845748739693663,6.85212310573946,0.00937105385514059,0.92288188554184,1
