"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RNU4-29P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU4-30P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU4-31P",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU4-33P",0.938237793347111,-0.0381602475031649,3.57595800754908,-0.0106713354638411,0.991485667788896,1
"RNU4-34P",1.31534718453181,2.13987365854508,3.0042280949508,0.71228734667037,0.476286857849013,1
"RNU4-36P",1.48661308772983,-2.18215174679245,2.86425996224473,-0.761855339793351,0.44614634729948,1
"RNU4-47P",0.478967057900064,-2.35679426763392,4.89370809857205,-0.481596821911305,0.630092384284694,1
"RNU4-48P",1.44402052072712,-3.9482375392586,3.05482985680048,-1.29245742785618,0.196198779937358,1
"RNU4-4P",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RNU4-51P",0.486086404926988,-2.37611060888774,4.69034075586692,-0.506596584888971,0.612437905061039,1
"RNU4-60P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU4-72P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU4-78P",0.810755067882457,1.18204143196995,3.88159267730036,0.304524851070169,0.760728062790176,1
"RNU4-82P",2.15582286844739,0.991936214328925,2.18983444517764,0.452973153524608,0.650568073191552,1
"RNU4-85P",1.25424890580673,-1.8667264294248,3.00867827409727,-0.620447339117672,0.534963314060613,1
"RNU4-87P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU4-89P",2.17990972372774,0.311268916179898,2.15840537881057,0.144212444629576,0.885332714275803,1
"RNU4-8P",2.67311547568166,-0.27521196339161,1.99605202558654,-0.137878151402762,0.890336718125399,1
"RNU4ATAC",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU4ATAC11P",0.521559624902783,0.175943836278316,4.66705715822745,0.0376990960927378,0.96992759669947,1
"RNU4ATAC12P",2.02122079595581,1.65681340148629,2.26750798626103,0.730675883624238,0.464977149413267,1
"RNU5A-5P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU5B-2P",3.45231674851856,-3.60417024307731,2.16406063708139,-1.66546638357516,0.0958197449607188,1
"RNU5E-10P",1.05023859683249,0.186266382368158,3.17912842653127,0.0585903925156596,0.953278363199699,1
"RNU5E-4P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU5F-1",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU5F-4P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-1004P",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU6-1005P",0.761043153852815,-0.823396205384573,3.9655413736704,-0.207637779510155,0.835511803406294,1
"RNU6-1008P",0.478967057900064,-2.35679426763392,4.89370809857205,-0.481596821911305,0.630092384284694,1
"RNU6-100P",3.18316522073018,-0.621307423529222,1.79551821710781,-0.346032369713305,0.729318388189639,1
"RNU6-1011P",1.86099366471495,0.600901842211894,2.50734100770121,0.239657007310232,0.810596166874519,1
"RNU6-1019P",0.493205751953912,-2.39521375100435,4.89087577844887,-0.48973105421295,0.624324224065971,1
"RNU6-101P",1.93176864428186,-1.63238745938628,2.49351008482719,-0.654654444479381,0.512690261963488,1
"RNU6-1024P",0.528678971929707,0.155098658775617,4.6428531997988,0.0334058933378161,0.973350910083215,1
"RNU6-1026P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-1028P",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU6-1029P",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU6-103P",0.732689280903944,-2.96741952857783,3.94791425731253,-0.751642344582692,0.452266171279787,1
"RNU6-1040P",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RNU6-1043P",1.69228511533183,-1.38475344658361,2.83541007569202,-0.488378544766805,0.625281736096809,1
"RNU6-1048P",1.68077523547756,-2.54375583240101,2.71508094715769,-0.936898708329106,0.348810663693815,1
"RNU6-1050P",0.957934115800128,-3.35649519179752,3.88505415005238,-0.863950684381649,0.387614982127903,1
"RNU6-1054P",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU6-1056P",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RNU6-1062P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-1065P",0.741346831399798,3.05530993900383,3.92900334305649,0.777629763131485,0.436787309584502,1
"RNU6-106P",0.775281847906663,-0.860238639358614,3.93804520142297,-0.218443058766257,0.827083919441568,1
"RNU6-1079P",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
"RNU6-1088P",0.528678971929707,0.155098658775617,4.6428531997988,0.0334058933378161,0.973350910083215,1
"RNU6-1091P",2.6261323758516,-1.44842496184923,2.11948243650004,-0.683386159236617,0.494362863559422,1
"RNU6-1107P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-110P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-1111P",1.50238998525261,1.08739297080058,2.70135822430725,0.402535643372303,0.687289862093315,1
"RNU6-1123P",1.08571181680828,1.78755799292941,3.47412038768122,0.514535420035488,0.606877703042146,1
"RNU6-1128P",0.459270735447047,2.37550705104563,4.90308496267606,0.484492328631625,0.628036507374293,1
"RNU6-1136P",0.478967057900064,-2.35679426763392,4.89370809857205,-0.481596821911305,0.630092384284694,1
"RNU6-1147P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-1153P",0.739808627930868,-2.98039205848637,4.31541045990222,-0.690639299825467,0.489792243827636,1
"RNU6-1154P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-1156P",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RNU6-1157P",3.80261047022331,-0.872312230027812,1.70464396271507,-0.511726934836548,0.608842132528623,1
"RNU6-1163P",0.846228287858252,3.23028865378457,4.09126508045157,0.789557408347647,0.429786290382534,1
"RNU6-1164P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-1165P",2.13612654599437,2.96359339703485,2.57427647421923,1.15123353171835,0.249636173749463,1
"RNU6-1170P",1.42159538407451,-0.0587806487259849,2.76432958985316,-0.021263979860342,0.983035077245486,1
"RNU6-1176P",0.986411503907824,-3.39546823002753,3.84228419789682,-0.883710848845105,0.376852322388446,1
"RNU6-118P",1.01476537685669,-1.4496813489188,3.27643964462156,-0.44245629590599,0.658159049260604,1
"RNU6-1199P",1.128304383811,3.64561597515397,3.65288974228581,0.99800876356939,0.31827510912526,1
"RNU6-1201P",0.739808627930868,-2.98039205848637,4.31541045990222,-0.690639299825467,0.489792243827636,1
"RNU6-1203P",2.35846643433737,1.17096789486821,2.28425329838024,0.512626115369317,0.608212881634169,1
"RNU6-1209P",0.528678971929707,0.155098658775617,4.6428531997988,0.0334058933378161,0.973350910083215,1
"RNU6-1219P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-1223P",0.775281847906663,-0.860238639358614,3.93804520142297,-0.218443058766257,0.827083919441568,1
"RNU6-122P",1.05023859683249,0.186266382368158,3.17912842653127,0.0585903925156596,0.953278363199699,1
"RNU6-123P",0.751194992626306,1.07731078845042,3.69841803363011,0.291289621306816,0.770829824460614,1
"RNU6-1242P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-1251P",0.478967057900064,-2.35679426763392,4.89370809857205,-0.481596821911305,0.630092384284694,1
"RNU6-1256P",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RNU6-125P",3.03717678354316,-1.416049760427,2.00263010269576,-0.707095013962309,0.479507434289567,1
"RNU6-1263P",1.74033531073371,-2.46325487789129,2.67337714066548,-0.921401937804447,0.356840617435072,1
"RNU6-1272P",1.44129170652753,-2.28455347003325,2.85924161175863,-0.799006792793595,0.424286473223796,1
"RNU6-1274P",0.68890610317057,2.95813157660482,4.43890239088802,0.666410593455972,0.505148693210581,1
"RNU6-1278P",0.511711463676274,2.51531334050804,4.59466110933133,0.54744262539835,0.584074677650647,1
"RNU6-1279P",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RNU6-1280P",0.229635367723523,1.46733274283167,4.99003458334592,0.294052619941522,0.768717694885332,1
"RNU6-1281P",0.952476487400959,-0.0732091978551822,3.55526341493986,-0.0205917788109719,0.983571298635497,1
"RNU6-1285P",1.67365588845064,-2.53793247058664,2.75964585550194,-0.919658754592273,0.357751112721287,1
"RNU6-1297P",0.957934115800128,-3.35649519179752,3.88505415005238,-0.863950684381649,0.387614982127903,1
"RNU6-1301P",0.493205751953912,-2.39521375100435,4.89087577844887,-0.48973105421295,0.624324224065971,1
"RNU6-1305P",0.810755067882457,1.18204143196995,3.88159267730036,0.304524851070169,0.760728062790176,1
