"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RP11-188D8.1",3.74577920916675,-1.33830465979223,1.70422955545268,-0.785284268489728,0.432286917272985,1
"RP11-188P17.2",0.739808627930868,-2.98039205848637,4.31541045990222,-0.690639299825467,0.489792243827636,1
"RP11-18B16.2",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RP11-18C24.8",3.02459980811707,-0.404291803261194,1.88252471577808,-0.214760422464941,0.829954111175242,1
"RP11-18D7.3",0.282076095952751,1.61737885745441,4.98026851518978,0.324757360475929,0.745364718148356,1
"RP11-18F14.4",0.918541470894094,3.37294829135864,3.94548744632243,0.85488759937699,0.392613376285367,1
"RP11-190A12.11",0.918541470894094,3.37294829135864,3.94548744632243,0.85488759937699,0.392613376285367,1
"RP11-190J1.11",1.88952367001741,4.41123843248655,2.78726590968643,1.58263996885135,0.11350354810569,1
"RP11-190P13.2",3.71504411475657,1.48942047976704,1.71109224908502,0.870450135323495,0.384054458436637,1
"RP11-191F9.4",1.03327108857906,1.70380026362014,3.26959442921272,0.521104467391203,0.602293999031361,1
"RP11-192H23.7",2.84182402506478,0.930784218054418,1.90501952751432,0.488595630969153,0.625128006783684,1
"RP11-193J6.1",1.75884102245608,-0.298574962281783,2.36706003949137,-0.126137468970132,0.899623108377301,1
"RP11-194N12.2",3.0130899282628,-0.872399108340197,1.86424691138457,-0.46796328480559,0.639810845743333,1
"RP11-195B3.3",0.239483528950032,-1.36983681491926,4.99641214287279,-0.274164095304524,0.783958519097387,1
"RP11-195L15.2",1.71079082705419,0.407063301002368,2.56371292763092,0.158778815137671,0.873843140125586,1
"RP11-196B3.1",2.36285696716471,1.92014105501694,2.2822338300212,0.841342823754001,0.40015590655807,1
"RP11-196B3.2",1.47676492650333,-0.921441479835334,2.58022827716014,-0.357116262925966,0.721004770100892,1
"RP11-196B3.5",2.70265995936118,-2.10414235865388,2.04137756814784,-1.03074629185966,0.302659810277919,1
"RP11-196G18.23",0.246602875976956,-1.39115035690098,4.99489618542742,-0.27851436851874,0.780617536734122,1
"RP11-196G18.3",2.68415424763882,-4.84076951543027,2.42285515750576,-1.9979607532188,0.0457209152095538,1
"RP11-196G4.2",0.945357140374035,-0.051633051131862,3.30362851475321,-0.0156291940517165,0.987530215039686,1
"RP11-196H14.4",0.486086404926988,-2.37611060888774,4.69034075586692,-0.506596584888971,0.612437905061039,1
"RP11-196H14.5",0.68890610317057,2.95813157660482,4.43890239088802,0.666410593455972,0.505148693210581,1
"RP11-197M22.2",3.14615379728545,-3.54361757175491,2.21798771192992,-1.5976723192355,0.110115922280757,1
"RP11-197N18.2",0.476238243700479,0.0102294858191557,4.83300592057907,0.00211658872082036,0.998311207799038,1
"RP11-197N18.8",3.74731741263568,-0.0965088183686211,1.65995231673562,-0.0581395124399782,0.953637501230548,1
"RP11-19D22.1",0.564152191905501,2.64496608577554,4.84261134750119,0.546185910033924,0.584938150471986,1
